# Logfile created on Sun Jul 15 16:44:47 -0700 2012 by logger.rb/22285
E, [2012-07-23 00:50:07#4260] ERROR -- : Form page: {"longitude"=>"-73.979959", "latitude"=>"40.789315"}
E, [2012-07-23 00:50:22#4265] ERROR -- : Form page: {"longitude"=>"-73.977556", "latitude"=>"40.789965"}
E, [2012-07-23 00:52:37#4272] ERROR -- : Form page: {"longitude"=>"-73.969016", "latitude"=>"40.790160"}
E, [2012-07-23 00:55:30#4272] ERROR -- : Form page: {"longitude"=>"-73.979273", "latitude"=>"40.784083"}
E, [2012-07-23 00:55:40#4272] ERROR -- : Form page: {"longitude"=>"-73.972192", "latitude"=>"40.792012"}
E, [2012-07-23 00:57:11#4284] ERROR -- : Form page: {"longitude"=>"-73.970304", "latitude"=>"40.788438"}
E, [2012-07-23 00:58:03#4288] ERROR -- : Form page: {"longitude"=>"-73.977985", "latitude"=>"40.787300"}
E, [2012-07-23 01:04:15#4297] ERROR -- : Form page: {"longitude"=>"-73.970733", "latitude"=>"40.790485"}
E, [2012-07-23 01:05:36#4304] ERROR -- : Form page: {"longitude"=>"-73.972063", "latitude"=>"40.789022"}
E, [2012-07-23 01:07:06#4311] ERROR -- : Form page: {"longitude"=>"-73.973694", "latitude"=>"40.785773"}
E, [2012-07-23 01:14:55#4326] ERROR -- : Form page: {"longitude"=>"-73.972793", "latitude"=>"40.791459"}
E, [2012-07-23 01:15:15#4332] ERROR -- : Form page: {"longitude"=>"-73.978887", "latitude"=>"40.793441"}
E, [2012-07-23 01:21:01#4340] ERROR -- : Form page: {"longitude"=>"-73.973393", "latitude"=>"40.784896"}
